,Id,Descripcion,Latitud,Longitud
0,albania_1,Cancha sintética 1,11.18199,-72.61488
1,albania_2,Plaza de Cuestesitas,11.18212,-72.6153
2,albania_6,Luminaria 3,11.16328,-72.59386
3,albania_7,Cancha Albania,11.16284,-72.5934
4,albania_20,Casa del Adulto Mayor,11.09886,-72.53772
5,albania_23,Centro Educativo La Horqueta,11.16756,-72.50253
6,albania_24,Barrio Villa Reina - Restaurante Estadero El Quillero,11.18314,-72.61157
7,albania_25,Barrio Villa Reina - Centro Educativo Cristiano Zayed,11.18383,-72.61172
8,albania_26,Barrio Villa Reina - Institución Educativa María Auxiliadora de Cuestesitas,11.18538,-72.61276
9,albania_27,Barrio Villa Reina - Parque Principal,11.18442,-72.61366
10,albania_28,Parque La Almojabanera,11.18433,-72.61361
11,albania_29,Cancha sintética 2,11.18274,-72.61575
12,albania_30,Centro de Salud de Cuestesitas,11.1807,-72.61864
13,albania_31,Estadero Black & White,11.1815,-72.61877
14,albania_32,Iglesia de Cuestesitas,11.18115,-72.61987
15,albania_33,Barrio 13 de Febrero (El Cerro),11.18099,-72.62132
16,albania_34,Barrio 13 de Febrero - Plaza El Cerro,11.18093,-72.62029
17,albania_35,Provisiones El Gran Punto - Sector comercial,11.18167,-72.61832
18,albania_38,Barrio Las Duplex 1,11.16444,-72.58753
19,albania_39,Barrio Las Duplex 2,11.16341,-72.58737
20,albania_40,Barrio Las Duplex 3,11.16251,-72.58723
21,albania_41,Barrio Las Duplex - Casa del Adulto Mayor,11.1621,-72.5882
22,albania_42,Barrio Sergio Hernández - Polideportivo,11.16301,-72.58843
23,albania_45,Barrio El Carmen - Parque El Carmen - Cámara de seguridad en el sector,11.16159,-72.58776
24,albania_47,Barrio El Carmen - I.E. San Rafael de Albania (Entrada),11.16141,-72.58933
25,albania_49,Barrio El Molino - IPS Previ Diagnóstico,11.16055,-72.59061
26,albania_52,Barrio El Molino - Patinódromo Municipal de Albania,11.15874,-72.58944
27,albania_53,Barrio 7 de Agosto 1,11.15826,-72.58993
28,albania_54,Barrio 7 de Agosto - Cancha de Béisbol La Bombonera,11.15769,-72.59161
29,albania_58,Barrio San Martín - Registraduría municipal,11.15968,-72.59241
30,albania_60,Barrio 26 de Febrero - Cancha sintética de fútbol,11.15974,-72.5931
31,albania_61,Barrio 26 de Febrero - Cancha de microfútbol,11.16062,-72.59354
32,albania_62,Barrio 26 de Febrero - Sector comercial,11.16098,-72.59382
33,albania_63,Barrio 26 de Febrero - Parque 26 de Febrero,11.16115,-72.59528
34,albania_64,Barrio El Silencio - Parque El Silencio 1,11.16212,-72.59411
35,albania_65,Barrio El Silencio - Parque El Silencio 2,11.16257,-72.59335
